year,wbhao,state,igen,lths,scol,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
1996,Hispanic,Florida,1st Generation,.24959618,.44977573,.18532911,.65485442,.71928179,.72529966,.66490573,,,,26273.414
1996,White,Texas,1st Generation,.023867726,.80213273,.48311749,.91747904,.83557099,.81780928,.43802121,,,,49455.836
1996,Hispanic,Texas,1st Generation,.66669554,.16454904,.055586439,.41655496,.70288515,.79341877,.7294836,,,,21636.928
1996,White,California,1st Generation,.081181325,.69954038,.48484409,.80915946,.67895103,.75656551,.62427521,,,,49038.555
1996,Hispanic,California,1st Generation,.64687961,.144421,.049340811,.52511483,.67357731,.72585553,.79464746,,,,23182.424
1996,White,New York,2nd Generation,.040775191,.65891159,.42291006,.91348207,.82600337,.65101296,.4128305,,,,59156.906
1996,Hispanic,New York,2nd Generation,.29131958,.33827299,.10831784,.8285163,.62240338,.42655104,.5187071,,,,38019.176
1996,White,New Jersey,2nd Generation,.022408275,.54684025,.3320587,.83825827,.80449063,.61368811,.48572725,,,,58736.535
1996,Hispanic,New Jersey,2nd Generation,.37083724,.31306949,.03150918,.83302903,.63224506,.54537344,.6782555,,,,37759.531
1996,White,Illinois,2nd Generation,.052621253,.70075893,.41525447,.9192456,.87200868,.65323448,.41809094,,,,53760.039
1996,Hispanic,Illinois,2nd Generation,.23511952,.4819288,.19757704,.78495902,.81875247,.44913155,.54529244,,,,37246.426
1996,White,Florida,2nd Generation,.045197453,.66441882,.36407945,.88281184,.79800725,.58485544,.42477253,,,,38637.371
1996,Hispanic,Florida,2nd Generation,.20895608,.46391594,.16118003,.76776141,.74802434,.5999161,.65668219,,,,32455.393
1996,White,Texas,2nd Generation,.11072499,.67478627,.43868387,.88878071,.77903384,.63015485,.53928512,,,,38897.016
1996,Hispanic,Texas,2nd Generation,.30008835,.32891595,.085043088,.5930137,.70415807,.64982784,.65971529,,,,23426.611
1996,White,California,2nd Generation,.047077619,.80771565,.45040736,.84656614,.84779721,.5786382,.40062848,,,,55543.543
1996,Hispanic,California,2nd Generation,.15199575,.49759519,.16473067,.74688363,.80282891,.57452428,.54489261,,,,39332.844
1996,White,New York,3rd Generation,.049105655,.60655951,.33960932,.89423186,.79113239,.66372019,.52235001,,,,46380.301
1996,Hispanic,New York,3rd Generation,.14667599,.38951629,.16150342,.84858698,.70322061,.48231715,.83849657,,,,46364.848
1996,White,New Jersey,3rd Generation,.035481811,.59960532,.3720763,.86460423,.83356947,.69730681,.53541368,,,,51315.066
1996,Hispanic,New Jersey,3rd Generation,0,.47758746,.33902928,1,.67070735,.79933327,.84595305,,,,37096.516
1996,White,Illinois,3rd Generation,.056045525,.6328916,.32971197,.90755129,.84694159,.67381537,.50144005,,,,46673.945
1996,Hispanic,Illinois,3rd Generation,.048148248,.40449482,.055872597,.94397342,.89825702,.55193353,.44823971,,,,44819.352
1996,White,Florida,3rd Generation,.076743275,.55694169,.26639187,.80820459,.81733501,.64850926,.49741611,,,,38799.648
1996,Hispanic,Florida,3rd Generation,.31631577,.57885414,.18454768,.75402766,.88062739,.73629588,.72175336,,,,41728.363
1996,White,Texas,3rd Generation,.065587461,.6490882,.31952411,.84053558,.83465916,.70973545,.52319956,,,,46364.848
1996,Hispanic,Texas,3rd Generation,.28839386,.31915572,.061808385,.6679939,.7762658,.66810441,.69160539,,,,26837.52
1996,White,California,3rd Generation,.039591942,.71800172,.34252572,.8425135,.81042808,.62871307,.48220649,,,,51753.988
1996,Hispanic,California,3rd Generation,.16691715,.42859742,.13237999,.77946413,.74491233,.62959355,.62023085,,,,38946.473
1996,White,New York,All,.056488339,.60439497,.35060462,.88281518,.78475046,.66845286,.50567877,.10383305,.11559845,.78056848,46751.219
1996,Hispanic,New York,All,.36931738,.2761445,.099822782,.66486889,.62832302,.48307076,.58074039,.54032475,.42895621,.030719027,31759.92
1996,White,New Jersey,All,.04694603,.58996463,.36565855,.85405338,.82314038,.69973832,.53689808,.086433105,.10472114,.80884576,51107.973
1996,Hispanic,New Jersey,All,.26981881,.3918716,.14318879,.73518831,.6795159,.64738834,.74654186,.62161815,.34054065,.037841193,32463.121
1996,White,Illinois,All,.057990219,.63290787,.33199602,.89784181,.84310496,.67649704,.49671715,.053786382,.068603694,.87760991,46519.395
1996,Hispanic,Illinois,All,.48416343,.2320786,.068046279,.74975401,.75923413,.64343297,.61925417,.66995901,.21121901,.11882199,27818.908
1996,White,Florida,All,.07328663,.57006234,.28021726,.815238,.81445098,.64171565,.49045882,.051080678,.078310475,.87060887,38744.012
1996,Hispanic,Florida,All,.23957482,.45982417,.17763241,.69495529,.73535413,.6859864,.66474551,.63959193,.31732243,.043085653,30909.898
1996,White,Texas,All,.065905534,.65336138,.32669947,.84368855,.83309823,.70997363,.52168554,.023145676,.028439892,.94841444,46364.848
1996,Hispanic,Texas,All,.43776354,.26094791,.063923672,.55559897,.73366231,.71326107,.70010918,.38880983,.19515799,.4160322,24666.098
1996,White,California,All,.044038519,.72305405,.3639546,.83970684,.80098039,.63686299,.48930401,.09332329,.075520389,.83115631,51789.535
1996,Hispanic,California,All,.49429804,.2430619,.079846285,.60038745,.70393938,.68806887,.729554,.68638593,.13796361,.17565046,27324.35
1997,White,New York,1st Generation,.089224063,.52462786,.35204151,.7769962,.71357292,.7301656,.55535561,,,,39454.641
1997,Hispanic,New York,1st Generation,.40357822,.26998457,.094961107,.54297674,.6810531,.55065489,.61361188,,,,21909.213
1997,White,New Jersey,1st Generation,.11379622,.61219257,.37495756,.76074374,.79198897,.66120839,.49642503,,,,46195.938
1997,Hispanic,New Jersey,1st Generation,.2912654,.35026032,.19826581,.58930832,.80950165,.6967538,.69970381,,,,25430.338
1997,White,Illinois,1st Generation,.075759321,.5529483,.3516371,.81663728,.77102047,.71030498,.47424096,,,,37829.508
1997,Hispanic,Illinois,1st Generation,.56148672,.12664333,.037283093,.66664857,.71848232,.7464903,.72174168,,,,30095.074
1997,White,Florida,1st Generation,.059404422,.63048291,.41336679,.75194627,.79197913,.68814451,.47418576,,,,39123.594
1997,Hispanic,Florida,1st Generation,.24039063,.48293296,.22538744,.69019938,.78091645,.72657084,.65404499,,,,28597.844
1997,White,Texas,1st Generation,.069860749,.77572733,.42293617,.86792415,.72843271,.73347473,.50683236,,,,43637.855
1997,Hispanic,Texas,1st Generation,.61144483,.1669793,.077192239,.43732765,.67553586,.77820796,.66394287,,,,22797.018
1997,White,California,1st Generation,.089155428,.69618046,.44123164,.76096201,.71454257,.69466829,.52981299,,,,48641.164
1997,Hispanic,California,1st Generation,.60089046,.19900785,.054195739,.5248673,.71181154,.71761364,.78032988,,,,21104.17
1997,White,New York,2nd Generation,.051847436,.6550917,.41225335,.89427876,.81740123,.66011989,.4680343,,,,55675.887
1997,Hispanic,New York,2nd Generation,.30682015,.40741664,.14278159,.80942333,.69466406,.52481437,.55765969,,,,38593.922
1997,White,New Jersey,2nd Generation,.016575126,.64654189,.38178053,.8984673,.84731412,.64766216,.39835489,,,,56432.777
1997,Hispanic,New Jersey,2nd Generation,.32294354,.29381043,.038471293,.79984248,.63201052,.55277443,.65273446,,,,36151.707
1997,White,Illinois,2nd Generation,.041459989,.66075051,.38218817,.89605385,.8481186,.65919572,.40500641,,,,53193.043
1997,Hispanic,Illinois,2nd Generation,.30456969,.41761601,.14741977,.80819309,.8460272,.54184413,.60845113,,,,45142.609
1997,White,Florida,2nd Generation,.048365779,.60509145,.27292228,.76292086,.79156452,.62430912,.48274848,,,,44507.605
1997,Hispanic,Florida,2nd Generation,.20249376,.50270182,.17187801,.74303877,.8221243,.61250883,.58580953,,,,28590.32
1997,White,Texas,2nd Generation,.0221093,.77577031,.4847331,.80934113,.81916893,.66680419,.49165109,,,,52694.969
1997,Hispanic,Texas,2nd Generation,.26001078,.39691821,.078659289,.64524007,.74530226,.69916332,.70698446,,,,31644.971
1997,White,California,2nd Generation,.025309065,.78596228,.40732703,.89594221,.84030288,.58646184,.37459224,,,,48671.258
1997,Hispanic,California,2nd Generation,.11440428,.54565847,.1774395,.75849217,.83710533,.60173434,.59767675,,,,36565.516
1997,White,New York,3rd Generation,.052518636,.61341357,.34697863,.88674068,.80676812,.67486721,.52653402,,,,45518.797
1997,Hispanic,New York,3rd Generation,.057769898,.61783928,.42199889,.81785226,.87933499,.52582175,.57092738,,,,43750.715
1997,White,New Jersey,3rd Generation,.034464423,.60673165,.36554968,.87767357,.82696205,.6997146,.48108226,,,,53809.992
1997,Hispanic,New Jersey,3rd Generation,.17936614,.42708278,.32886699,.75669348,.71514684,.76449966,.81353486,,,,40641.891
1997,White,Illinois,3rd Generation,.056914262,.59729153,.32978547,.91708654,.83326381,.67823672,.53325009,,,,47381.684
1997,Hispanic,Illinois,3rd Generation,.1081792,.49666479,.2216588,.81685096,.85570079,.67680669,.64438373,,,,46701.535
1997,White,Florida,3rd Generation,.085097067,.54480034,.26060769,.80872267,.81433421,.62594473,.49050793,,,,40327.398
1997,Hispanic,Florida,3rd Generation,.22258084,.51610911,.22409156,.86955458,.78122163,.83703911,.57165003,,,,44540.707
1997,White,Texas,3rd Generation,.066335604,.62844145,.31110957,.84326893,.83958137,.70402622,.52044499,,,,45502.246
1997,Hispanic,Texas,3rd Generation,.23232463,.3348805,.11993013,.66718453,.75992292,.69966084,.66923463,,,,27085.566
1997,White,California,3rd Generation,.036431707,.71245009,.35227236,.87078351,.80630201,.62191057,.49133778,,,,52072
1997,Hispanic,California,3rd Generation,.17024165,.48603874,.14128059,.84334558,.73889107,.55200517,.56005478,,,,39198.832
1997,White,New York,All,.056383267,.60886729,.35534799,.87584901,.7980262,.67904276,.52261877,.10747987,.11988094,.77263916,46344.91
1997,Hispanic,New York,All,.35598168,.33291456,.12357706,.65195101,.69262916,.54014587,.59121841,.5920406,.37534276,.032616671,30095.074
1997,White,New Jersey,All,.038715683,.61094558,.3678073,.87087494,.82627892,.69184816,.47433087,.075133577,.095544443,.82932198,53268.281
1997,Hispanic,New Jersey,All,.29853901,.33030814,.13683279,.68960738,.72761106,.63855344,.68594891,.51190877,.43106118,.057030026,30253.072
1997,White,Illinois,All,.057019036,.59874976,.33433148,.9100219,.83064079,.67887163,.52180851,.05715673,.062917851,.87992543,46975.398
1997,Hispanic,Illinois,All,.44368801,.24082731,.08644712,.71819746,.76518381,.69174081,.68623132,.64401531,.22186309,.13412161,34115.773
1997,White,Florida,All,.080607019,.55489844,.27115086,.80157268,.81114781,.6297164,.48887634,.062699258,.07838387,.85891688,40327.398
1997,Hispanic,Florida,All,.22949246,.49032989,.21170889,.71646935,.79140073,.70552856,.63081527,.67443693,.25389299,.071670085,29439
1997,White,Texas,All,.065140486,.63671899,.31919631,.84294516,.83598304,.70373583,.5192371,.027015831,.029176202,.94380796,45729.465
1997,Hispanic,Texas,All,.38152912,.28404388,.095284425,.57566506,.7249769,.72929466,.67497528,.37857381,.20513906,.41628712,25866.715
1997,White,California,All,.04039431,.71712053,.36516619,.86269695,.80063695,.62568861,.48509464,.092898086,.084092446,.82300949,51914
1997,Hispanic,California,All,.44469658,.30652127,.089564756,.62118316,.7360431,.66838241,.71050763,.65703446,.15215921,.19080634,25580.813
1998,White,New York,1st Generation,.10145116,.49886405,.31587106,.73786426,.71980381,.70025039,.49987671,,,,42714.891
1998,Hispanic,New York,1st Generation,.33485335,.28688687,.12858474,.47153902,.72598016,.59797525,.72364467,,,,26512.689
1998,White,New Jersey,1st Generation,.11147842,.60348719,.38153076,.78876472,.77483022,.78357917,.6055454,,,,45544.383
1998,Hispanic,New Jersey,1st Generation,.2029366,.3374666,.19885278,.55391049,.84337151,.5862931,.64815593,,,,30636.887
1998,White,Illinois,1st Generation,.06764473,.61017352,.44689095,.76659399,.79259384,.74781173,.51557428,,,,41571.898
1998,Hispanic,Illinois,1st Generation,.53879118,.22907098,.092473127,.55319691,.69641185,.74986637,.80671275,,,,30560.295
1998,White,Florida,1st Generation,.099115051,.6323477,.46164712,.74142969,.80347568,.69658393,.45849064,,,,43993.391
1998,Hispanic,Florida,1st Generation,.23439226,.47429353,.22645685,.66516066,.7743507,.78336602,.61032307,,,,29468.855
1998,White,Texas,1st Generation,.080243327,.68749332,.46673131,.85902816,.70433456,.78734106,.69997686,,,,58352.957
1998,Hispanic,Texas,1st Generation,.64162463,.16283989,.073486619,.47519675,.68548918,.71761876,.76014173,,,,22093.908
1998,White,California,1st Generation,.097565636,.73123968,.48520806,.78273976,.80047452,.67524391,.45056668,,,,48918.859
1998,Hispanic,California,1st Generation,.59647739,.17162648,.051757269,.49415722,.72586656,.69806421,.77427447,,,,22164.609
1998,White,New York,2nd Generation,.038503438,.69678545,.41813093,.86797738,.84331489,.65656871,.48540717,,,,52288.918
1998,Hispanic,New York,2nd Generation,.29035705,.44867584,.15591775,.80360675,.58228564,.5027644,.58999473,,,,44187.816
1998,White,New Jersey,2nd Generation,.017156001,.75452822,.50304443,.89090812,.82165033,.6375398,.48404878,,,,55956.508
1998,Hispanic,New Jersey,2nd Generation,.2123521,.33834806,.14005169,.71565282,.75263679,.57474667,.63709593,,,,36970.473
