year,wbhao,igen,lths,scol,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2014,White,2nd Generation,.029668283,.75939864,.48451483,.87100679,.79990339,.57002664,.43088001,,,,50876.68
2014,Hispanic,2nd Generation,.1087316,.53990328,.23610303,.77734798,.76737016,.48889318,.5471338,,,,34596.145
2014,White,3rd Generation,.043446623,.67648,.37890857,.86054426,.78754759,.61190212,.47853339,,,,44976.004
2014,Hispanic,3rd Generation,.11844886,.53351629,.20170079,.78124923,.72611505,.47065729,.56973898,,,,35613.676
2014,White,All,.044338819,.68251646,.39157146,.85720712,.78630662,.61706793,.47952875,.050737634,.045672014,.90359038,45789.012
2014,Hispanic,All,.28085244,.39128953,.165732,.66526955,.73375475,.57864636,.62655175,.53300017,.24168108,.22531877,29593.947
2015,White,1st Generation,.040909771,.74077499,.53481007,.86193466,.74265331,.7283631,.52956992,,,,49076.379
2015,Hispanic,1st Generation,.41845357,.2593233,.12277925,.63208109,.72777247,.66546071,.66414088,,,,26029.902
2015,White,2nd Generation,.020135799,.78479201,.52239096,.91660082,.81933707,.59258592,.47180223,,,,50057.504
2015,Hispanic,2nd Generation,.09979777,.55888975,.22273786,.83553362,.77916497,.50079215,.57364947,,,,35041.254
2015,White,3rd Generation,.04325372,.68017089,.39225775,.88968331,.79429984,.61675608,.4821142,,,,45070.777
2015,Hispanic,3rd Generation,.12189399,.54473859,.20946576,.82879663,.72245055,.4934049,.54438341,,,,36041.402
2015,White,All,.042115048,.68776846,.40499207,.88951898,.79288381,.62114215,.48397765,.048892401,.044297729,.90680987,45152.871
2015,Hispanic,All,.27896827,.39182952,.16521563,.72267115,.73921603,.58946967,.61713946,.54785031,.2442034,.2079463,30034.502
2016,White,1st Generation,.040704787,.76053452,.57782596,.85693026,.77097422,.73005515,.52367252,,,,50000
2016,Hispanic,1st Generation,.38422501,.25962344,.11925089,.68966699,.74524349,.65603745,.66978914,,,,28000
2016,White,2nd Generation,.014648367,.80258739,.51813293,.92040652,.83594197,.55719769,.44444153,,,,52000
2016,Hispanic,2nd Generation,.099654146,.55723333,.24037139,.87086111,.77115005,.46931276,.55013299,,,,36000
2016,White,3rd Generation,.042857364,.69291228,.40278718,.90163404,.80306882,.61095899,.47378027,,,,47012
2016,Hispanic,3rd Generation,.099721491,.56116802,.23292561,.85184729,.75040901,.48568007,.54646033,,,,35320
