,% Employed,% Married,% less than High School diploma,% with Children,% with College Degree,% with Health Insurance,Median Individual Real Income,igen,scol,state,wbhao,wbhao_igen,year
203,0.7360431,0.66838241,0.44469658,0.71050763,0.089564756,0.62118316,25580.813,All,0.30652127,California,Hispanic,Hispanic All,1997
199,0.79140073,0.70552856,0.22949246,0.63081527,0.21170889,0.71646935,29439.0,All,0.49032989,Florida,Hispanic,Hispanic All,1997
197,0.76518381,0.69174081,0.44368801,0.68623132,0.08644712,0.71819746,34115.773,All,0.24082731,Illinois,Hispanic,Hispanic All,1997
195,0.72761106,0.63855344,0.29853901,0.68594891,0.13683279,0.68960738,30253.072,All,0.33030814,New Jersey,Hispanic,Hispanic All,1997
193,0.69262916,0.54014587,0.35598168,0.59121841,0.12357706,0.65195101,30095.074,All,0.33291456,New York,Hispanic,Hispanic All,1997
201,0.7249769,0.72929466,0.38152912,0.67497528,0.095284425,0.57566506,25866.715,All,0.28404388,Texas,Hispanic,Hispanic All,1997
32,0.82757318,0.68870294,0.071995147,0.51678449,0.30239993,0.87037325,43445.25,All,0.58489907,National,White,White All,1997
202,0.80063695,0.62568861,0.04039431,0.48509464,0.36516619,0.86269695,51914.0,All,0.71712053,California,White,White All,1997
198,0.81114781,0.6297164000000001,0.080607019,0.48887634,0.27115086,0.80157268,40327.398,All,0.55489844,Florida,White,White All,1997
196,0.83064079,0.67887163,0.057019035999999995,0.52180851,0.33433148,0.9100219,46975.398,All,0.59874976,Illinois,White,White All,1997
194,0.82627892,0.69184816,0.038715683,0.47433087,0.3678073,0.87087494,53268.280999999995,All,0.61094558,New Jersey,White,White All,1997
192,0.7980262,0.67904276,0.056383267,0.52261877,0.35534799,0.87584901,46344.91,All,0.60886729,New York,White,White All,1997
200,0.83598304,0.70373583,0.065140486,0.5192371,0.31919631,0.84294516,45729.465,All,0.63671899,Texas,White,White All,1997
35,0.73789811,0.70887667,0.50000316,0.7434963000000001,0.09972848699999999,0.52103281,23566.836,1st Generation,0.23640794,National,Hispanic,Hispanic 1st Generation,1998
215,0.72586656,0.69806421,0.59647739,0.77427447,0.051757269,0.49415722,22164.609,1st Generation,0.17162648,California,Hispanic,Hispanic 1st Generation,1998
211,0.7743507,0.78336602,0.23439226,0.61032307,0.22645685,0.66516066,29468.855,1st Generation,0.47429353,Florida,Hispanic,Hispanic 1st Generation,1998
209,0.69641185,0.74986637,0.53879118,0.80671275,0.09247312699999999,0.55319691,30560.295,1st Generation,0.22907098,Illinois,Hispanic,Hispanic 1st Generation,1998
207,0.84337151,0.5862931,0.2029366,0.64815593,0.19885278,0.55391049,30636.887000000002,1st Generation,0.33746659999999995,New Jersey,Hispanic,Hispanic 1st Generation,1998
205,0.72598016,0.59797525,0.33485335,0.72364467,0.12858474,0.47153902,26512.689,1st Generation,0.28688687,New York,Hispanic,Hispanic 1st Generation,1998
213,0.68548918,0.71761876,0.64162463,0.76014173,0.073486619,0.47519675,22093.908,1st Generation,0.16283989,Texas,Hispanic,Hispanic 1st Generation,1998
37,0.7503224000000001,0.5877884,0.2509864,0.61929238,0.16073129,0.78412825,36823.18,2nd Generation,0.43434924,National,Hispanic,Hispanic 2nd Generation,1998
227,0.81909901,0.55569732,0.21471989,0.61278683,0.16904053,0.78001785,37108.93,2nd Generation,0.44368309,California,Hispanic,Hispanic 2nd Generation,1998
223,0.81011599,0.63371634,0.14344683,0.57109237,0.24871929,0.7614904,30636.887000000002,2nd Generation,0.57158267,Florida,Hispanic,Hispanic 2nd Generation,1998
221,0.78196448,0.65789706,0.20460679,0.5578618000000001,0.16561389,0.80660576,44482.402,2nd Generation,0.38155338,Illinois,Hispanic,Hispanic 2nd Generation,1998
219,0.75263679,0.57474667,0.21235210000000002,0.63709593,0.14005169,0.71565282,36970.473,2nd Generation,0.33834806,New Jersey,Hispanic,Hispanic 2nd Generation,1998
217,0.58228564,0.5027644,0.29035705,0.58999473,0.15591775,0.80360675,44187.816,2nd Generation,0.44867584,New York,Hispanic,Hispanic 2nd Generation,1998
225,0.81332827,0.66227615,0.31233338,0.63693184,0.077866435,0.76856047,36852.641,2nd Generation,0.41831869,Texas,Hispanic,Hispanic 2nd Generation,1998
39,0.77626032,0.63528359,0.16022243,0.65110999,0.15448549,0.76640767,34613.789,3rd Generation,0.43331394,National,Hispanic,Hispanic 3rd Generation,1998
239,0.77289641,0.5761683000000001,0.13370492,0.62142509,0.14077379999999998,0.8408618,44187.816,3rd Generation,0.47886583,California,Hispanic,Hispanic 3rd Generation,1998
235,0.8837046000000001,0.65525109,0.09294997199999999,0.63098431,0.24463801,0.77671468,36860.004,3rd Generation,0.51832891,Florida,Hispanic,Hispanic 3rd Generation,1998
233,0.7928409000000001,0.77285469,0.15141563,0.42283329,0.2799719,0.91685206,42714.890999999996,3rd Generation,0.58628303,Illinois,Hispanic,Hispanic 3rd Generation,1998
231,0.61431146,0.55884624,0.18585761,0.48351404,0.24444288,0.81326562,44187.816,3rd Generation,0.4278664000000001,New Jersey,Hispanic,Hispanic 3rd Generation,1998
229,0.74151284,0.35824609,0.0,0.65552938,0.27582994,0.78799629,51552.453,3rd Generation,0.52358413,New York,Hispanic,Hispanic 3rd Generation,1998
237,0.7771185,0.6987375,0.18629776,0.69295925,0.15028052,0.67770171,31206.91,3rd Generation,0.38978893,Texas,Hispanic,Hispanic 3rd Generation,1998
41,0.7497943,0.66529709,0.3649736,0.69472301,0.1259442,0.63631797,29458.545,All,0.32610658,National,Hispanic,Hispanic All,1998
251,0.74874097,0.65306485,0.44848388,0.72029936,0.086535461,0.60501111,26807.275,All,0.27255833,California,Hispanic,Hispanic All,1998
247,0.7899555,0.7362709,0.20225908,0.60097373,0.23341441,0.69708264,30636.887000000002,All,0.50274229,Florida,Hispanic,Hispanic All,1998
245,0.72835016,0.72493017,0.41323996,0.70614058,0.12757337,0.65358877,32404.397999999997,All,0.29974803,Illinois,Hispanic,Hispanic All,1998
243,0.7899421999999999,0.5795964,0.20602258,0.63341504,0.17590506,0.64018774,35425.375,All,0.34329221,New Jersey,Hispanic,Hispanic All,1998
241,0.67641509,0.55139107,0.30083501,0.67300618,0.14626877,0.60544789,29458.545,All,0.35666502,New York,Hispanic,Hispanic All,1998
249,0.74893671,0.69953293,0.379217,0.70852762,0.10890241,0.61729097,28191.827999999998,All,0.30941904,Texas,Hispanic,Hispanic All,1998
40,0.82764316,0.68317795,0.066941559,0.51317126,0.30774993,0.86613733,44204.02,All,0.59328479,National,White,White All,1998
250,0.81416327,0.62616503,0.039646602999999996,0.4679822,0.35887435,0.84824753,51592.223,All,0.72940844,California,White,White All,1998
246,0.8053441,0.63206315,0.064566217,0.44779974,0.2878246,0.81547308,42598.527,All,0.58802986,Florida,White,White All,1998
244,0.84413713,0.67584771,0.041954305,0.54089969,0.32781282,0.90017754,47157.238,All,0.61299366,Illinois,White,White All,1998
242,0.83037257,0.71443862,0.038699932,0.5085277,0.3977108,0.87267542,56118.527,All,0.64780718,New Jersey,White,White All,1998
240,0.82184488,0.66709602,0.053421196,0.51486826,0.34882029999999997,0.85923254,48132.316,All,0.6134541,New York,White,White All,1998
248,0.83604062,0.71781737,0.058811601,0.51740211,0.3312,0.83519876,44997.926,All,0.63415128,Texas,White,White All,1998
43,0.73335779,0.71043366,0.48619089,0.73139435,0.10790676,0.52298927,24560.017999999996,1st Generation,0.24243483,National,Hispanic,Hispanic 1st Generation,1999
263,0.73400205,0.70906872,0.5689432,0.76238698,0.063440919,0.49254084,23252.086,1st Generation,0.18189275,California,Hispanic,Hispanic 1st Generation,1999
