,year,female,wbhao,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
211,2006,1,Hispanic,All,0.31990787,0.35820627,0.14356399,0.64489192,0.62176824,0.62871009,0.71800452,25244.197,Hispanic All
208,2006,0,White,All,0.05806739599999999,0.61316478,0.33970335,0.85822022,0.88901824,0.69511646,0.56131893,57202.379,White All
209,2006,1,White,All,0.047617680999999995,0.66393012,0.34751141,0.8762629000000001,0.74163383,0.6950506,0.60714561,36675.691,White All
214,2007,0,Hispanic,1st Generation,0.48118171,0.21045369,0.085605949,0.46036809999999995,0.89470828,0.71997529,0.65206558,29388.926,Hispanic 1st Generation
215,2007,1,Hispanic,1st Generation,0.44002938,0.2456083,0.10539064,0.52109003,0.55764925,0.71051174,0.76641566,21160.027000000002,Hispanic 1st Generation
218,2007,0,Hispanic,2nd Generation,0.15319782,0.5021441,0.19273497,0.75045693,0.84887344,0.59437859,0.54801935,47022.280999999995,Hispanic 2nd Generation
219,2007,1,Hispanic,2nd Generation,0.14879271,0.55020481,0.23230341,0.77364433,0.69347054,0.5359965,0.6661613000000001,32974.375,Hispanic 2nd Generation
222,2007,0,Hispanic,3rd Generation,0.12860648,0.45870167,0.17113362,0.72899842,0.84292716,0.56950289,0.53677654,43495.609000000004,Hispanic 3rd Generation
223,2007,1,Hispanic,3rd Generation,0.13771324,0.48848605,0.16322254,0.76612097,0.75598913,0.52642983,0.63290542,31740.041,Hispanic 3rd Generation
226,2007,0,Hispanic,All,0.3514238,0.31334022,0.12231132,0.56685579,0.87609416,0.66732472,0.61024314,35266.711,Hispanic All
227,2007,1,Hispanic,All,0.31030646,0.36447483,0.14497496,0.6296553,0.63129604,0.63210779,0.71501005,24686.697,Hispanic All
224,2007,0,White,All,0.061765800999999995,0.60862577,0.34100115,0.84964073,0.88351512,0.65645337,0.47808006,57602.297,White All
225,2007,1,White,All,0.04720562,0.66842544,0.36658499,0.87627238,0.75246888,0.67942214,0.52880847,37713.047,White All
230,2008,0,Hispanic,1st Generation,0.47205612,0.20552923,0.09051709599999999,0.47102225,0.87505245,0.70975393,0.63430434,28578.463,Hispanic 1st Generation
231,2008,1,Hispanic,1st Generation,0.43887651,0.25499937,0.10869925,0.5224755999999999,0.54519463,0.70870298,0.75077307,21948.26,Hispanic 1st Generation
234,2008,0,Hispanic,2nd Generation,0.14997424,0.50821936,0.19724327,0.72309262,0.85443169,0.56803602,0.55942476,44650.992,Hispanic 2nd Generation
235,2008,1,Hispanic,2nd Generation,0.1151698,0.59057105,0.23063278,0.79346585,0.74747127,0.52997947,0.66154605,35437.293,Hispanic 2nd Generation
238,2008,0,Hispanic,3rd Generation,0.1493195,0.44840652,0.1586895,0.72464913,0.82292521,0.54652756,0.51758462,40009.848,Hispanic 3rd Generation
239,2008,1,Hispanic,3rd Generation,0.14536442,0.48281828,0.16500533,0.77739584,0.70632672,0.5467871999999999,0.60971725,31733.525,Hispanic 3rd Generation
242,2008,0,Hispanic,All,0.34439042,0.31340995,0.12505841,0.57114607,0.86057925,0.64933169,0.5962773,34294.156,Hispanic All
243,2008,1,Hispanic,All,0.3002007,0.38120496,0.14847891,0.64068174,0.62673515,0.63216931,0.69873744,27383.882999999998,Hispanic All
240,2008,0,White,All,0.057112515,0.61819017,0.34779599,0.85513127,0.87483764,0.64268833,0.45845661,57156.926,White All
241,2008,1,White,All,0.040976588,0.68140811,0.37816262,0.88047296,0.75170416,0.66587514,0.51175815,38180.828,White All
246,2009,0,Hispanic,1st Generation,0.47190076,0.20212132,0.09290806900000001,0.46785721,0.81809449,0.69341969,0.65941781,28622.193,Hispanic 1st Generation
247,2009,1,Hispanic,1st Generation,0.44560394,0.24156611,0.10485236,0.51808149,0.55318969,0.69546485,0.74842101,19815.365,Hispanic 1st Generation
