year,female,wbhao,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2005,1,Hispanic,3rd Generation,.17609477,.14945465,.7548334,.72311682,.56240553,.62215239,,,,23859.543
2005,0,White,All,.061465096,.33640447,.85915422,.88016593,.70424098,.56276679,.047526322,.046798527,.90567517,52807.195
2005,1,White,All,.048062325,.34297612,.88212568,.74169773,.69664818,.60993445,.045763057,.043505102,.91073185,28689.17
2005,0,Hispanic,All,.35121381,.11836898,.59390849,.8744452,.66168034,.62623525,.61060721,.18846543,.20092738,31369.369
2005,1,Hispanic,All,.34049946,.13784203,.65868086,.61975539,.62750852,.71157122,.55297738,.21206222,.23496041,15810.162
2006,0,White,1st Generation,.085942231,.49960244,.79390532,.90078193,.76015437,.60280275,,,,54614.848
2006,1,White,1st Generation,.065296784,.46903491,.83481872,.6571241,.77312863,.61664522,,,,22305.918
2006,0,Hispanic,1st Generation,.48628432,.087779514,.49333334,.90238655,.71460259,.68757433,,,,27914.256
2006,1,Hispanic,1st Generation,.44630247,.10598876,.54750121,.56537277,.68608785,.76849771,,,,11651.168
2006,0,White,2nd Generation,.035019703,.41775033,.86475569,.86015743,.66599739,.53241819,,,,54614.848
2006,1,White,2nd Generation,.027009416,.45159638,.90946871,.73292226,.68505722,.58216673,,,,30806.416
2006,0,Hispanic,2nd Generation,.15348256,.16908051,.7291503,.82853156,.56565505,.55069506,,,,38837.227
2006,1,Hispanic,2nd Generation,.15689197,.22250825,.78036565,.68482202,.53686631,.65423018,,,,23350.883
2006,0,White,3rd Generation,.057839297,.32761329,.86113822,.88990313,.69331992,.56070262,,,,53037.086
2006,1,White,3rd Generation,.04770698,.33630687,.87677997,.74636358,.69154853,.60786229,,,,29127.92
2006,0,Hispanic,3rd Generation,.13092163,.16058868,.73886859,.85361832,.61026818,.5568952,,,,40866.469
2006,1,Hispanic,3rd Generation,.16384646,.16269539,.75631821,.70005971,.5738225,.65445352,,,,24212.582
2006,0,White,All,.058067396,.33970335,.85822022,.88901824,.69511646,.56131893,.045905478,.046538025,.90755647,53194.863
2006,1,White,All,.047617681,.34751141,.8762629,.74163383,.6950506,.60714561,.046410177,.043756045,.90983379,28875.477
2006,0,Hispanic,All,.35508782,.1170835,.58506739,.87917352,.66661465,.63664985,.61907703,.18480209,.19612089,30347.65
2006,1,Hispanic,All,.31990787,.14356399,.64489192,.62176824,.62871009,.71800452,.55765784,.2088428,.23349939,15777.623
2007,0,White,1st Generation,.08861991,.4799346,.80347997,.89095211,.74173754,.55130786,,,,52900.066
2007,1,White,1st Generation,.080674574,.45459816,.81490594,.68048114,.76276588,.54653436,,,,23511.141
2007,0,Hispanic,1st Generation,.48118171,.085605949,.4603681,.89470828,.71997529,.65206558,,,,29000.992
2007,1,Hispanic,1st Generation,.44002938,.10539064,.52109003,.55764925,.71051174,.76641566,,,,11461.682
2007,0,White,2nd Generation,.029005302,.41276896,.85033029,.88248622,.64781052,.46238738,,,,56720.629
2007,1,White,2nd Generation,.048041679,.45420986,.89019686,.75270313,.66615909,.52756196,,,,34678.934
2007,0,Hispanic,2nd Generation,.15319782,.19273497,.75045693,.84887344,.59437859,.54801935,,,,41144.496
2007,1,Hispanic,2nd Generation,.14879271,.23230341,.77364433,.69347054,.5359965,.6661613,,,,24216.475
