,year,wbhao,centcity,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
262,2010,Hispanic,0,1st Generation,0.41953573,0.24825452,0.11256133,0.47013530000000003,0.69643813,0.67921692,0.71740329,27617.387000000002,Hispanic 1st Generation
263,2010,Hispanic,1,1st Generation,0.4716531,0.22663128,0.10932641,0.45469743,0.68053627,0.64951509,0.70033139,22093.908,Hispanic 1st Generation
266,2010,Hispanic,0,2nd Generation,0.13200979,0.51164746,0.20849092,0.71291238,0.74195558,0.59153318,0.66833234,36454.949,Hispanic 2nd Generation
267,2010,Hispanic,1,2nd Generation,0.15334706,0.54004109,0.23290676,0.70393771,0.7334643,0.4193221,0.56574976,35372.348,Hispanic 2nd Generation
270,2010,Hispanic,0,3rd Generation,0.11784738,0.46782485,0.15454964,0.71085966,0.72085267,0.53319293,0.58074009,37572.902,Hispanic 3rd Generation
271,2010,Hispanic,1,3rd Generation,0.12814906,0.47577786,0.20450069,0.72347671,0.69032431,0.46886429,0.54537916,37845.762,Hispanic 3rd Generation
274,2010,Hispanic,0,All,0.29055154,0.35353482,0.14229353,0.57586837,0.71156412,0.62763339,0.67607766,30931.472999999998,Hispanic All
275,2010,Hispanic,1,All,0.33284467,0.34602669,0.15581029999999998,0.5633501999999999,0.69443667,0.56227595,0.63975757,27706.865,Hispanic All
272,2010,White,0,All,0.053886595999999995,0.62480766,0.32493582,0.83706272,0.77129769,0.66602695,0.51111144,44205.492,White All
273,2010,White,1,All,0.039348491,0.73133332,0.480216,0.82503939,0.77615798,0.53679591,0.38604259,49711.293,White All
278,2011,Hispanic,0,1st Generation,0.40928394,0.25331903,0.10400905,0.49797022,0.69402677,0.68473434,0.70783901,26915.654,Hispanic 1st Generation
279,2011,Hispanic,1,1st Generation,0.48355603,0.22125298,0.089485817,0.45562536,0.6954568,0.62473452,0.68298882,22114.994,Hispanic 1st Generation
282,2011,Hispanic,0,2nd Generation,0.11490752,0.5365392,0.21622399999999997,0.75257707,0.75914598,0.55174232,0.64714223,38048.703,Hispanic 2nd Generation
283,2011,Hispanic,1,2nd Generation,0.1740849,0.49177876,0.21268265,0.74616152,0.71951044,0.44199917,0.53470463,35874.492,Hispanic 2nd Generation
286,2011,Hispanic,0,3rd Generation,0.12038764,0.48182985,0.15534679999999998,0.71662712,0.69926506,0.53911895,0.6105727,36972.469,Hispanic 3rd Generation
287,2011,Hispanic,1,3rd Generation,0.13257195,0.49072734,0.20604947,0.7722736,0.69055057,0.46436739,0.53387749,35874.492,Hispanic 3rd Generation
290,2011,Hispanic,0,All,0.27704209,0.36919233,0.14091399,0.60517681,0.70980251,0.62152213,0.67191195,30879.242000000002,Hispanic All
